market_id,country,city,currency,price,area_m2,transaction_date,source,gross_area_m2,rooms,floor,floors,construction_year,lat,long,property_type,neighborhood,address,building_class
us-nyc,United States,New York,USD,800000.0,84.54173,2025-02-27,nyc_dof_rolling_sales,84.54173,,,,2002,,,01 ONE FAMILY DWELLINGS,ANNADALE,4720 AMBOY ROAD,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,655000.0,84.54173,2025-06-17,nyc_dof_rolling_sales,84.54173,,,,2002,,,01 ONE FAMILY DWELLINGS,ANNADALE,4718 AMBOY ROAD,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,1350000.0,362.693312,2025-03-12,nyc_dof_rolling_sales,362.693312,,,,1980,,,01 ONE FAMILY DWELLINGS,ANNADALE,551 OAKDALE STREET,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,1100000.0,130.807424,2025-10-17,nyc_dof_rolling_sales,130.807424,,,,1955,,,01 ONE FAMILY DWELLINGS,ANNADALE,25 EDWIN STREET,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,1150000.0,201.042092,2025-10-01,nyc_dof_rolling_sales,201.042092,,,,1980,,,01 ONE FAMILY DWELLINGS,ANNADALE,28 JANSEN STREET,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,1200000.0,222.9672,2025-02-18,nyc_dof_rolling_sales,222.9672,,,,2002,,,01 ONE FAMILY DWELLINGS,ANNADALE,85 NOEL STREET,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,1417000.0,250.8381,2025-04-29,nyc_dof_rolling_sales,250.8381,,,,1998,,,01 ONE FAMILY DWELLINGS,ANNADALE,110 NOEL STREET,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,635000.0,111.4836,2025-04-28,nyc_dof_rolling_sales,111.4836,,,,1999,,,01 ONE FAMILY DWELLINGS,ANNADALE,103 ELMBANK STREET,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,683000.0,172.242162,2025-01-23,nyc_dof_rolling_sales,172.242162,,,,1986,,,01 ONE FAMILY DWELLINGS,ANNADALE,4 SEGUINE PLACE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,900000.0,231.792985,2025-10-30,nyc_dof_rolling_sales,231.792985,,,,1986,,,01 ONE FAMILY DWELLINGS,ANNADALE,22 MAY PLACE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,755500.0,169.547975,2025-07-30,nyc_dof_rolling_sales,169.547975,,,,1986,,,01 ONE FAMILY DWELLINGS,ANNADALE,39 EAGAN AVE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,630000.0,141.305463,2025-10-23,nyc_dof_rolling_sales,141.305463,,,,1986,,,01 ONE FAMILY DWELLINGS,ANNADALE,9 EAGAN AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,136956.0,141.305463,2025-06-09,nyc_dof_rolling_sales,141.305463,,,,1986,,,01 ONE FAMILY DWELLINGS,ANNADALE,102 SEGUINE PLACE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,710000.0,143.813844,2025-09-11,nyc_dof_rolling_sales,143.813844,,,,2005,,,01 ONE FAMILY DWELLINGS,ANNADALE,95 LORRAINE AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,850000.0,137.49644,2025-02-12,nyc_dof_rolling_sales,137.49644,,,,1960,,,01 ONE FAMILY DWELLINGS,ANNADALE,110 MOSELY AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,755000.0,157.9351,2025-08-01,nyc_dof_rolling_sales,157.9351,,,,2004,,,01 ONE FAMILY DWELLINGS,ANNADALE,49 ENDVIEW STREET,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,785000.0,146.78674,2025-06-26,nyc_dof_rolling_sales,146.78674,,,,2004,,,01 ONE FAMILY DWELLINGS,ANNADALE,35 JEANNETTE AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,1237000.0,218.32205,2025-08-22,nyc_dof_rolling_sales,218.32205,,,,2006,,,01 ONE FAMILY DWELLINGS,ANNADALE,15 JEANNETTE AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,400000.0,89.18688,2025-09-26,nyc_dof_rolling_sales,89.18688,,,,1930,,,01 ONE FAMILY DWELLINGS,ANNADALE,34 JEANNETTE AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,660000.0,89.18688,2025-07-14,nyc_dof_rolling_sales,89.18688,,,,1960,,,01 ONE FAMILY DWELLINGS,ANNADALE,210 RENSSELAER AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,755000.0,111.4836,2025-08-26,nyc_dof_rolling_sales,111.4836,,,,1975,,,01 ONE FAMILY DWELLINGS,ANNADALE,46 MOSELY AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,363750.0,144.92867999999999,2025-10-29,nyc_dof_rolling_sales,144.92867999999999,,,,1960,,,01 ONE FAMILY DWELLINGS,ANNADALE,53 PINE TERRACE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,815000.0,93.646224,2025-01-30,nyc_dof_rolling_sales,93.646224,,,,1960,,,01 ONE FAMILY DWELLINGS,ANNADALE,18 PINE TERRACE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,1275000.0,223.338812,2025-08-26,nyc_dof_rolling_sales,223.338812,,,,1978,,,01 ONE FAMILY DWELLINGS,ANNADALE,16 FURMAN STREET,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,799000.0,146.043516,2025-01-10,nyc_dof_rolling_sales,146.043516,,,,1899,,,01 ONE FAMILY DWELLINGS,ANNADALE,5031 AMBOY ROAD,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,1645000.0,226.68332,2025-08-07,nyc_dof_rolling_sales,226.68332,,,,1970,,,01 ONE FAMILY DWELLINGS,ANNADALE,263 ALBEE AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,875000.0,164.252504,2025-06-23,nyc_dof_rolling_sales,164.252504,,,,1965,,,01 ONE FAMILY DWELLINGS,ANNADALE,35 ELY AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,778000.0,186.549224,2025-03-11,nyc_dof_rolling_sales,186.549224,,,,1965,,,01 ONE FAMILY DWELLINGS,ANNADALE,104 NORTH PINE TERRACE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,999800.0,214.60593,2025-08-27,nyc_dof_rolling_sales,214.60593,,,,1970,,,01 ONE FAMILY DWELLINGS,ANNADALE,257 EDGEGROVE AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,580000.0,238.574904,2025-06-10,nyc_dof_rolling_sales,238.574904,,,,2025,,,01 ONE FAMILY DWELLINGS,ANNADALE,224 RATHBUN AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,783180.0,167.2254,2025-10-10,nyc_dof_rolling_sales,167.2254,,,,1970,,,01 ONE FAMILY DWELLINGS,ANNADALE,280 CROWN AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,750000.0,215.53496,2025-02-28,nyc_dof_rolling_sales,215.53496,,,,1970,,,01 ONE FAMILY DWELLINGS,ANNADALE,353 EDGEGROVE AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,908000.0,206.24466,2025-06-25,nyc_dof_rolling_sales,206.24466,,,,1974,,,01 ONE FAMILY DWELLINGS,ANNADALE,112 RAMONA AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,800000.0,334.4508,2025-01-07,nyc_dof_rolling_sales,334.4508,,,,1992,,,01 ONE FAMILY DWELLINGS,ANNADALE,404 VINELAND AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,581400.0,160.164772,2025-06-16,nyc_dof_rolling_sales,160.164772,,,,1970,,,01 ONE FAMILY DWELLINGS,ANNADALE,66 BUFFINGTON AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,655000.0,104.515875,2025-10-28,nyc_dof_rolling_sales,104.515875,,,,1975,,,01 ONE FAMILY DWELLINGS,ANNADALE,67 ARCHWOOD AVENUE,01 ONE FAMILY DWELLINGS
us-nyc,United States,New York,USD,875000.0,162.58025,2025-12-10,nyc_dof_rolling_sales,162.58025,,,,1994,,,01 ONE FAMILY DWELLINGS,ANNADALE,456 HOLDRIDGE AVENUE,01 ONE FAMILY DWELLINGS
